2010-02-01T05:12:32.921+0000|1039993|3981||Lei Liu
2010-02-01T12:47:47.921+0000|1048874|974||Heinz Frank
2010-02-01T20:49:17.921+0000|1039994|3981||Lei Liu
2010-02-02T00:09:32.921+0000|1048864|974||Heinz Frank
2010-02-02T01:20:47.921+0000|1048869|974||Heinz Frank
2010-02-02T01:25:17.921+0000|1048865|974||Heinz Frank
2010-02-02T03:02:02.921+0000|1048896|974||Heinz Frank
2010-02-02T03:05:02.921+0000|1048889|974||Heinz Frank
2010-02-02T03:33:32.921+0000|1048902|974||Heinz Frank
2010-02-02T04:23:02.921+0000|1048861|974||Heinz Frank
2010-02-02T04:29:47.921+0000|1048875|974||Heinz Frank
2010-02-02T05:12:38.716+0000|701100|1564||Emperor of Brazil Silva
2010-02-02T05:23:47.921+0000|1048879|974||Heinz Frank
2010-02-02T05:46:17.921+0000|1048878|974||Heinz Frank
2010-02-02T05:55:17.921+0000|1048882|974||Heinz Frank
2010-02-02T07:59:47.921+0000|1048891|974||Heinz Frank
2010-02-02T08:20:47.921+0000|1048895|974||Heinz Frank
2010-02-02T10:43:17.921+0000|1048863|974||Heinz Frank
2010-02-02T10:54:32.921+0000|1048860|974||Heinz Frank
2010-02-02T11:17:47.920+0000|1048871|974||Heinz Frank
2010-02-02T11:27:32.921+0000|1048892|974||Heinz Frank
2010-02-02T11:35:02.921+0000|1048885|974||Heinz Frank
2010-02-02T12:29:47.921+0000|1048894|974||Heinz Frank
2010-02-02T15:27:32.921+0000|1048858|974||Heinz Frank
